"","X1","unitid","year","fips","opeid","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids","hbcu"
"31",15858,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Direct Loan Parent PLUS",997,2422,1262,12444827,12444827,997,2422,1262,12444827,12444827,"No","No",NA,"Yes"
"32",15859,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"33",15860,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"34",15861,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"35",15862,100724,2017,"Alabama","00100500","ALABAMA STATE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"36",15863,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"37",15864,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","Unsubsidized Direct Loan&ndash,Undergraduate",12183,23685,13253,45048616,45048616,12183,23685,13253,45048614,45048614,"No","No",NA,"No"
"38",15865,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","Direct Loan Parent PLUS",3546,7222,4187,93286720,93286720,3546,7222,4187,93286722,93286722,"No","No",NA,"No"
"39",15866,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"40",15867,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"41",15868,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"42",15869,100751,2017,"Alabama","00105100","UNIVERSITY OF ALABAMA","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"43",15870,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"44",15871,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",324,631,361,1044861,1044861,324,631,361,1044861,1044861,"No","No",NA,"No"
"45",15872,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Direct Loan Parent PLUS",1,2,1,2008,2008,1,2,1,2008,2008,"No","No",NA,"No"
"46",15873,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"47",15874,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"48",15875,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"49",15876,100760,2017,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"50",15877,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"51",15878,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",1327,2314,1365,7365950,7365950,1327,2314,1365,7365950,7365950,"No","No",NA,"No"
"52",15879,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","Direct Loan Parent PLUS",37,74,41,277998,277998,37,74,41,277998,277998,"No","No",NA,"No"
"53",15880,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"54",15881,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"55",15882,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"56",15883,100812,2017,"Alabama","00100800","ATHENS STATE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"57",15884,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"58",15885,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Unsubsidized Direct Loan&ndash,Undergraduate",2252,4788,2551,8603911,8603911,2252,4788,2551,8603911,8603911,"No","No",NA,"No"
"59",15886,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Direct Loan Parent PLUS",291,764,391,2345694,2345694,291,764,391,2345694,2345694,"No","No",NA,"No"
"60",15887,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"61",15888,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"62",15889,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"63",15890,100830,2017,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"64",15891,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"65",15892,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",6910,13017,7174,23920232,23920232,6910,13017,7174,23920233,23920233,"No","No",NA,"No"
"66",15893,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","Direct Loan Parent PLUS",1747,3620,2089,42650228,42650228,1747,3620,2089,42650229,42650229,"No","No",NA,"No"
"67",15894,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"68",15895,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"69",15896,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"70",15897,100858,2017,"Alabama","00100900","AUBURN UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"71",15898,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"72",15899,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",558,1143,597,1933533,1933533,558,1143,597,1933533,1933533,"No","No",NA,"No"
"73",15900,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","Direct Loan Parent PLUS",198,386,209,3344687,3344687,198,386,209,3344687,3344687,"No","No",NA,"No"
"74",15901,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"75",15902,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"76",15903,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"77",15904,100937,2017,"Alabama","00101200","BIRMINGHAM-SOUTHERN COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"78",15905,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"79",15906,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",332,641,332,1218989,1218989,332,641,332,1218989,1218989,"No","No",NA,"No"
"80",15907,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","Direct Loan Parent PLUS",1,1,1,4115,4115,1,1,1,4115,4115,"No","No",NA,"No"
"81",15908,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"82",15909,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"83",15910,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"84",15911,101028,2017,"Alabama","01218200","CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"85",15912,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"86",15913,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Unsubsidized Direct Loan&ndash,Undergraduate",346,727,405,1344292,1322792,346,727,405,1344292,1322792,"No","No",NA,"Yes"
"87",15914,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Direct Loan Parent PLUS",50,97,50,310331,310331,50,97,50,310331,310331,"No","No",NA,"Yes"
"88",15915,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"89",15916,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"90",15917,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"91",15918,101073,2017,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes"
"92",15919,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"93",15920,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",248,475,267,763304,763304,248,475,267,763304,763304,"No","No",NA,"No"
"94",15921,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Direct Loan Parent PLUS",8,14,8,39098,39098,8,14,8,39098,39098,"No","No",NA,"No"
"95",15922,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"96",15923,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"97",15924,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"98",15925,101143,2017,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"99",15926,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"100",15927,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",1483,2726,1496,5166452,5166452,1483,2726,1496,5166452,5166452,"No","No",NA,"No"
"101",15928,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","Direct Loan Parent PLUS",63,127,64,360607,360607,63,127,64,360607,360607,"No","No",NA,"No"
"102",15929,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"103",15930,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"104",15931,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"105",15932,101161,2017,"Alabama","00106000","COASTAL ALABAMA COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"106",15933,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"107",15934,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",1735,5752,2740,7217113,7217113,1735,5752,2740,7217113,7217113,"No","No",NA,"No"
"108",15935,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","Direct Loan Parent PLUS",209,444,238,1846265,1846265,209,444,238,1846265,1846265,"No","No",NA,"No"
"109",15936,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"110",15937,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"111",15938,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"112",15939,101189,2017,"Alabama","00100300","FAULKNER UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"113",15940,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"114",15941,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","Unsubsidized Direct Loan&ndash,Undergraduate",64,140,69,213176,213176,64,140,69,213176,213176,"No","No",NA,"No"
"115",15942,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","Direct Loan Parent PLUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"116",15943,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"117",15944,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"118",15945,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"119",15946,101277,2017,"Alabama","04187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"120",15947,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"121",15948,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","Unsubsidized Direct Loan&ndash,Undergraduate",1453,2649,1534,5589821,5589821,1453,2649,1534,5589821,5589821,"No","No",NA,"No"
"122",15949,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","Direct Loan Parent PLUS",15,34,18,77945,77945,15,34,18,77945,77945,"No","No",NA,"No"
"123",15950,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"124",15951,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"125",15952,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"126",15953,101295,2017,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"127",15954,101435,2017,"Alabama","00101900","HUNTINGDON COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"No"
"128",15955,101435,2017,"Alabama","00101900","HUNTINGDON COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",796,1719,891,3145027,3145027,796,1719,891,3145027,3145027,"No","No",NA,"No"
