"","unitid","year","fips","opeid","inst_name_fsa","loan_type","loan_recipients_unitid","num_loans_disbursed_unitid","num_loans_originated_unitid","value_loans_originated_unitid","value_loan_disbursements_unitid","loan_recipients_opeid","num_loans_disbursed_opeid","num_loans_originated_opeid","value_loans_originated_opeid","value_loan_disbursements_opeid","allocation_flag","combined_flag","other_assoc_opeids"
"17",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","Direct Loan Parent PLUS",2,2,2,7000,7000,2,2,2,7000,7000,"No","No",""
"18",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"19",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"20",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"21",100690,2010,"Alabama","02503400","AMRIDGE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"22",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Subsidized Direct Loan&ndash,Undergraduate",2641,4943,2987,10583915,10578097,2641,4943,2987,10583915,10578097,"No","No",""
"23",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Unsubsidized Direct Loan&ndash,Undergraduate",2668,5094,3070,12299784,12296922,2668,5094,3070,12299784,12296922,"No","No",""
"24",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Direct Loan Parent PLUS",225,439,287,1995760,1987740,225,439,287,1995760,1987740,"No","No",""
"25",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"26",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"27",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"28",100706,2010,"Alabama","00105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"29",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",4084,8657,4791,15258912,15254551,4084,8657,4791,15258912,15254551,"No","No",""
"30",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",4038,9636,5344,16152794,16145554,4038,9636,5344,16152794,16145554,"No","No",""
"31",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Direct Loan Parent PLUS",807,1659,1040,6509414,6486399,807,1659,1040,6509414,6486399,"No","No",""
"32",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"33",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"34",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"35",100724,2010,"Alabama","00100500","ALABAMA STATE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"36",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","Subsidized Direct Loan&ndash,Undergraduate",8720,16307,9920,34688456,34508928,8720,16307,9920,34688456,34508930,"No","No",""
"37",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","Unsubsidized Direct Loan&ndash,Undergraduate",10524,20986,12468,40453432,40236496,10524,20986,12468,40453430,40236494,"No","No",""
"38",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","Direct Loan Parent PLUS",2170,4205,2535,35824536,35639712,2170,4205,2535,35824534,35639713,"No","No",""
"39",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"40",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"41",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"42",100751,2010,"Alabama","00105100","UNIVERSITY OF ALABAMA","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"43",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",908,1942,1012,3184659,3057513,908,1942,1012,3184659,3057513,"No","No",""
"44",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",803,1982,1040,3007738,2846645,803,1982,1040,3007738,2846645,"No","No",""
"45",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Direct Loan Parent PLUS",3,8,4,11719,11719,3,8,4,11719,11719,"No","No",""
"46",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"47",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"48",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"49",100760,2010,"Alabama","00100700","CENTRAL ALABAMA COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"50",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",1597,3398,1624,5915008,5888965,1597,3398,1624,5915008,5888965,"No","No",""
"51",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",1510,3288,1606,7408774,7387134,1510,3288,1606,7408774,7387134,"No","No",""
"52",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","Direct Loan Parent PLUS",22,52,22,159072,152651,22,52,22,159072,152651,"No","No",""
"53",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"54",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"55",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"56",100812,2010,"Alabama","00100800","ATHENS STATE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"57",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Subsidized Direct Loan&ndash,Undergraduate",2726,5628,3077,9612241,9609390,2726,5628,3077,9612241,9609390,"No","No",""
"58",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Unsubsidized Direct Loan&ndash,Undergraduate",2617,5601,3075,10617547,10589659,2617,5601,3075,10617547,10589659,"No","No",""
"59",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Direct Loan Parent PLUS",179,458,246,1049136,1040973,179,458,246,1049136,1040973,"No","No",""
"60",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"61",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"62",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"63",100830,2010,"Alabama","00831000","AUBURN UNIVERSITY MONTGOMERY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"64",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",6114,11449,6733,25403914,25390550,6114,11449,6733,25403914,25390550,"No","No",""
"65",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",6894,13085,7583,26925600,26859394,6894,13085,7583,26925601,26859394,"No","No",""
"66",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","Direct Loan Parent PLUS",1385,2703,1616,22667152,22609464,1385,2703,1616,22667151,22609463,"No","No",""
"67",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"68",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"69",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"70",100858,2010,"Alabama","00100900","AUBURN UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"71",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",536,1030,547,2273640,2269678,536,1030,547,2273640,2269678,"No","No",""
"72",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",622,1202,638,2306472,2296975,622,1202,638,2306472,2296975,"No","No",""
"73",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","Direct Loan Parent PLUS",181,365,195,2601976,2589383,181,365,195,2601976,2589383,"No","No",""
"74",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"75",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"76",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"77",100937,2010,"Alabama","00101200","BIRMINGHAM SOUTHERN COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"78",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Subsidized Direct Loan&ndash,Undergraduate",581,923,581,1913339,1871046,581,923,581,1913339,1871046,"No","No",""
"79",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Unsubsidized Direct Loan&ndash,Undergraduate",381,600,381,661986,647123,381,600,381,661986,647123,"No","No",""
"80",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Direct Loan Parent PLUS",11,16,11,54995,54845,11,16,11,54995,54845,"No","No",""
"81",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"82",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"83",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"84",101073,2010,"Alabama","01055400","CONCORDIA COLLEGE ALABAMA","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"85",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",656,1302,724,2030586,1935638,656,1302,724,2030586,1935638,"No","No",""
"86",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",321,628,347,877273,830656,321,628,347,877273,830656,"No","No",""
"87",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Direct Loan Parent PLUS",6,13,6,27534,25003,6,13,6,27534,25003,"No","No",""
"88",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"89",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"90",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"91",101143,2010,"Alabama","00101500","ENTERPRISE STATE COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"92",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",1371,2472,1487,3781831,3425693,1371,2472,1487,3781831,3425693,"No","No",""
"93",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",1031,1983,1169,2972821,2726668,1031,1983,1169,2972821,2726668,"No","No",""
"94",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","Direct Loan Parent PLUS",25,43,27,72320,69685,25,43,27,72320,69685,"No","No",""
"95",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"96",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"97",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"98",101161,2010,"Alabama","00106000","JAMES H. FAULKNER STATE COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"99",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",2097,5880,3600,9746420,9672485,2097,5880,3600,9746420,9672485,"No","No",""
"100",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",2048,6094,3690,10511987,10417712,2048,6094,3690,10511987,10417712,"No","No",""
"101",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","Direct Loan Parent PLUS",155,293,181,1267817,1235565,155,293,181,1267817,1235565,"No","No",""
"102",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"103",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"104",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"105",101189,2010,"Alabama","00100300","FAULKNER UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"106",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",2794,5417,3094,9237209,8825398,2794,5417,3094,9237209,8825398,"No","No",""
"107",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",2067,4209,2543,7427247,7141245,2067,4209,2543,7427247,7141245,"No","No",""
"108",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","Direct Loan Parent PLUS",16,27,16,69656,69467,16,27,16,69656,69467,"No","No",""
"109",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"110",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"111",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"112",101295,2010,"Alabama","00787100","GEORGE C. WALLACE STATE COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"113",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",698,1301,698,2737783,2705873,698,1301,698,2737783,2705873,"No","No",""
"114",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",771,1460,771,3386708,3336667,771,1460,771,3386708,3336667,"No","No",""
"115",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","Direct Loan Parent PLUS",161,298,161,1387805,1346915,161,298,161,1387805,1346915,"No","No",""
"116",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"117",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"118",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"119",101435,2010,"Alabama","00101900","HUNTINGDON COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"120",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",37,113,59,134281,130281,37,113,59,134281,130281,"No","No",""
"121",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",34,107,56,149014,142764,34,107,56,149014,142764,"No","No",""
"122",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"123",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"124",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"125",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"126",101453,2010,"Alabama","02199700","HERITAGE CHRISTIAN UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"127",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","Subsidized Direct Loan&ndash,Undergraduate",4492,8127,4948,18150656,18123380,4492,8127,4948,18150655,18123379,"No","No",""
"128",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","Unsubsidized Direct Loan&ndash,Undergraduate",4380,8411,5090,18854646,18802704,4380,8411,5090,18854646,18802705,"No","No",""
"129",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","Direct Loan Parent PLUS",414,765,478,2227009,2201029,414,765,478,2227009,2201029,"No","No",""
"130",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"131",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"132",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"133",101480,2010,"Alabama","00102000","JACKSONVILLE STATE UNIVERSITY","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"134",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",2193,3887,2384,6422211,6399592,2193,3887,2384,6422211,6399592,"No","No",""
"135",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","Unsubsidized Direct Loan&ndash,Undergraduate",796,1308,806,1780455,1777784,796,1308,806,1780455,1777784,"No","No",""
"136",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","Direct Loan Parent PLUS",0,0,0,0,0,0,0,0,0,0,"No","No",""
"137",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","Subsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"138",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","Unsubsidized Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"139",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","Parent PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"140",101505,2010,"Alabama","00102200","JEFFERSON STATE COMMUNITY COLLEGE","PLUS Federal Family Education Loans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",""
"141",101514,2010,"Alabama","00101300","CALHOUN COMMUNITY COLLEGE","Subsidized Direct Loan&ndash,Undergraduate",2295,3884,2295,6779838,6666921,2295,3884,2295,6779838,6666921,"No","No",""
